sido.nm,gungu.nm,admin.nm,daytime.pop,daytime.per
서울,종로구,서울 종로구,392128,265.7
서울,중구,서울 중구,442225,372.8
서울,용산구,서울 용산구,270006,127.4
서울,성동구,서울 성동구,311258,109.6
서울,광진구,서울 광진구,323842,92.6
서울,동대문구,서울 동대문구,377950,108.6
서울,중랑구,서울 중랑구,308410,78.3
서울,성북구,서울 성북구,410734,92.5
서울,강북구,서울 강북구,248493,79.5
서울,도봉구,서울 도봉구,258585,77.4
서울,노원구,서울 노원구,468323,84.7
서울,은평구,서울 은평구,350029,74.6
서울,서대문구,서울 서대문구,331427,111.2
서울,마포구,서울 마포구,439567,119.3
서울,양천구,서울 양천구,361483,79.3
서울,강서구,서울 강서구,484021,86.7
서울,구로구,서울 구로구,426337,105.2
서울,금천구,서울 금천구,288775,128.1
서울,영등포구,서울 영등포구,522674,146.1
서울,동작구,서울 동작구,348046,89.1
서울,관악구,서울 관악구,387169,78.4
서울,서초구,서울 서초구,579442,140.7
서울,강남구,서울 강남구,995036,188
서울,송파구,서울 송파구,594309,95.8
서울,강동구,서울 강동구,363040,83.6
부산,중구,부산 중구,85368,195.42
부산,서구,부산 서구,107115,97.94
부산,동구,부산 동구,107894,124.28
부산,영도구,부산 영도구,120512,94.97
부산,부산진구,부산 부산진구,370898,100.24
부산,동래구,부산 동래구,223489,86.66
부산,남구,부산 남구,269699,96.98
부산,북구,부산 북구,224524,76.33
부산,해운대구,부산 해운대구,359648,89.7
부산,사하구,부산 사하구,301682,92.35
부산,금정구,부산 금정구,245696,100.7
부산,강서구,부산 강서구,166330,192.28
부산,연제구,부산 연제구,186805,93.25
부산,수영구,부산 수영구,141164,83.07
부산,사상구,부산 사상구,262507,111.99
부산,기장군,부산 기장군,143934,98.83
대구,중구,대구 중구,127427,165.79
대구,동구,대구 동구,296441,88.8
대구,서구,대구 서구,178807,90.17
대구,남구,대구 남구,148682,94.65
대구,북구,대구 북구,431507,97.8
대구,수성구,대구 수성구,373800,87.02
대구,달서구,대구 달서구,556098,93.98
대구,달성군,대구 달성군,183184,99.91
인천,중구,인천 중구,171508,157.55
인천,동구,인천 동구,75443,108.11
인천,미추홀구,인천 미추홀구,354106,90.01
인천,연수구,인천 연수구,286740,93.3
인천,남동구,인천 남동구,478901,93.76
인천,부평구,인천 부평구,451023,84.89
인천,계양구,인천 계양구,253543,79.26
인천,서구,인천 서구,430498,89.19
인천,강화군,인천 강화군,62679,102.18
인천,옹진군,인천 옹진군,19458,107.12
광주,동구,광주 동구,134141,131.54
광주,서구,광주 서구,286695,95.61
광주,남구,광주 남구,190886,87.44
광주,북구,광주 북구,413776,91.77
광주,광산구,광주 광산구,394309,98.86
대전,동구,대전 동구,233069,95.83
대전,중구,대전 중구,225316,91.48
대전,서구,대전 서구,447619,92.74
대전,유성구,대전 유성구,365734,107.09
대전,대덕구,대전 대덕구,204244,105.11
울산,중구,울산 중구,180257,77.97
울산,남구,울산 남구,353590,106.92
울산,동구,울산 동구,191300,112.37
울산,북구,울산 북구,192928,104.55
울산,울주군,울산 울주군,225268,106.51
세종,세종,세종,1038678,90.83
경기,수원시,경기 수원시,916804,99.73
경기,성남시,경기 성남시,346531,84.09
경기,의정부시,경기 의정부시,524396,91.95
경기,안양시,경기 안양시,713000,87.71
경기,부천시,경기 부천시,263096,79.94
경기,광명시,경기 광명시,456898,105
경기,평택시,경기 평택시,84879,91.16
경기,동두천시,경기 동두천시,668107,98.18
경기,안산시,경기 안산시,823245,85.41
경기,고양시,경기 고양시,67066,104.91
경기,과천시,경기 과천시,154836,87.82
경기,구리시,경기 구리시,502916,81.6
경기,남양주시,경기 남양주시,175424,86.1
경기,오산시,경기 오산시,398106,102.91
경기,시흥시,경기 시흥시,229873,83.36
경기,군포시,경기 군포시,125595,82.7
경기,의왕시,경기 의왕시,144315,95.16
경기,하남시,경기 하남시,859601,90.8
경기,용인시,경기 용인시,393036,98.11
경기,파주시,경기 파주시,218403,108.98
경기,이천시,경기 이천시,199989,108.64
경기,안성시,경기 안성시,324748,97.58
경기,김포시,경기 김포시,680164,118.6
경기,화성시,경기 화성시,276121,92.83
경기,광주시,경기 광주시,190075,96.88
경기,양주시,경기 양주시,180593,121.13
경기,포천시,경기 포천시,109590,103.5
경기,여주시,경기 여주시,44315,104.72
경기,연천군,경기 연천군,59604,104.19
경기,가평군,경기 가평군,95446,95.83
경기,양평군,경기 양평군,276874,100.44
강원,춘천시,강원 춘천시,324715,100.24
강원,원주시,강원 원주시,211735,99.98
강원,강릉시,강원 강릉시,86011,97.56
강원,동해시,강원 동해시,43530,94.95
강원,태백시,강원 태백시,74047,95.32
강원,속초시,강원 속초시,71098,104.26
강원,삼척시,강원 삼척시,69238,106.05
강원,홍천군,강원 홍천군,46233,110.5
강원,횡성군,강원 횡성군,37891,104.37
강원,영월군,강원 영월군,43697,110.16
강원,평창군,강원 평창군,39762,110.04
강원,정선군,강원 정선군,44692,100.8
강원,철원군,강원 철원군,26235,107.35
강원,화천군,강원 화천군,22608,103.59
강원,양구군,강원 양구군,31219,104
강원,인제군,강원 인제군,31135,111.35
강원,고성군,강원 고성군,26521,104.66
강원,양양군,강원 양양군,793430,97.67
충북,청주시,충북 청주시,207640,101.02
충북,충주시,충북 충주시,134931,100.61
충북,제천시,충북 제천시,34699,108.09
충북,보은군,충북 보은군,52944,106.15
충북,옥천군,충북 옥천군,51440,105.7
충북,영동군,충북 영동군,34459,97.62
충북,증평군,충북 증평군,78725,118.9
충북,진천군,충북 진천군,41143,110.07
충북,괴산군,충북 괴산군,115783,123.64
충북,음성군,충북 음성군,30794,108.43
충북,단양군,충북 단양군,625061,103.25
충남,천안시,충남 천안시,117951,105.95
충남,공주시,충남 공주시,100088,101.06
충남,보령시,충남 보령시,342616,112.75
충남,아산시,충남 아산시,168793,102.99
충남,서산시,충남 서산시,128015,106.43
충남,논산시,충남 논산시,35606,93.52
충남,계룡시,충남 계룡시,170639,108.32
충남,당진시,충남 당진시,66711,122.1
충남,금산군,충남 금산군,69501,102.53
충남,부여군,충남 부여군,55948,104.79
